iter	Passed	Remaining
348	2244	4186
349	2248	4176
350	2252	4164
351	2263	4166
352	2266	4154
353	2269	4141
354	2272	4128
355	2275	4116
356	2278	4103
357	2284	4096
358	2295	4098
359	2300	4090
360	2303	4078
361	2307	4066
362	2309	4053
363	2326	4064
364	2337	4066
365	2341	4055
366	2348	4051
367	2354	4043
368	2373	4058
369	2378	4049
370	2383	4041
371	2387	4030
372	2390	4018
373	2403	4023
374	2407	4012
375	2412	4004
376	2427	4011
377	2430	3999
378	2432	3986
379	2437	3977
380	2443	3969
381	2445	3956
382	2448	3944
383	2455	3939
384	2459	3928
385	2462	3917
386	2466	3906
387	2475	3904
388	2479	3894
389	2489	3893
390	2491	3881
391	2494	3869
392	2504	3867
393	2507	3856
394	2509	3844
395	2512	3832
396	2528	3841
397	2535	3835
398	2540	3826
399	2542	3814
400	2559	3823
401	2569	3822
402	2573	3811
403	2576	3800
404	2589	3804
405	2596	3799
406	2601	3790
407	2616	3796
408	2632	3803
409	2635	3792
410	2642	3786
411	2649	3781
412	2729	3879
413	2733	3869
414	2746	3871
415	2766	3883
416	2790	3900
417	2797	3895
418	2803	3887
419	2811	3882
420	2869	3945
421	2875	3938
422	2881	3930
423	2889	3925
424	2892	3913
425	2905	3914
426	2908	3903
427	2918	3899
428	2922	3889
429	2939	3896
430	2955	3901
431	2957	3888
432	2966	3885
433	2970	3873
434	2986	3879
435	2996	3876
436	3001	3866
437	3022	3878
438	3029	3871
439	3032	3859
440	3043	3857
441	3047	3847
442	3059	3846
443	3076	3852
444	3078	3839
445	3128	3885
446	3134	3877
447	3137	3865
448	3174	3895
449	3185	3893
450	3188	3881
451	3242	3931
452	3257	3933
453	3266	3928
454	3331	3990
455	3334	3978
456	3338	3966
457	3390	4011
458	3394	4001
459	3405	3997
460	3408	3985
461	3427	3991
462	3432	3981
463	3436	3970
464	3443	3962
465	3452	3956
466	3457	3945
467	3459	3932
468	3464	3922
469	3473	3917
470	3476	3904
471	3520	3937
472	3523	3925
473	3525	3912
474	3529	3900
475	3531	3887
476	3534	3875
477	3537	3862
478	3569	3882
479	3575	3873
480	3610	3895
481	3612	3882
482	3625	3880
483	3627	3867
484	3635	3860
485	3638	3847
486	3641	3835
487	3643	3822
488	3650	3814
489	3685	3836
490	3689	3824
491	3691	3811
492	3697	3802
493	3700	3790
494	3712	3787
495	3717	3777
496	3721	3765
497	3728	3758
498	3867	3882
499	3876	3876
500	3881	3866
501	3884	3853
502	3891	3844
503	3895	3833
504	3897	3820
505	3900	3808
506	3909	3801
507	3962	3838
508	3982	3841
509	3987	3831
510	3994	3822
511	3996	3809
512	4005	3802
513	4008	3790
514	4011	3777
515	4014	3765
516	4036	3770
517	4039	3758
518	4078	3779
519	4083	3769
520	4086	3757
521	4090	3745
522	4102	3741
523	4106	3730
524	4143	3748
525	4148	3738
526	4165	3738
527	4171	3729
528	4175	3717
529	4179	3706
530	4182	3693
531	4192	3688
532	4247	3721
533	4252	3711
534	4257	3700
535	4261	3688
536	4266	3678
537	4270	3667
538	4277	3658
539	4284	3649
540	4287	3637
541	4327	3657
542	4331	3645
543	4345	3642
544	4348	3630
545	4362	3627
546	4365	3614
547	4373	3607
548	4377	3596
549	4385	3587
550	4410	3593
551	4444	3607
552	4450	3597
553	4455	3586
554	4457	3574
555	4465	3566
556	4469	3554
557	4472	3542
558	4477	3532
559	4500	3535
560	4502	3523
561	4505	3511
562	4513	3503
563	4516	3491
564	4518	3479
565	4523	3468
566	4529	3458
567	4532	3447
568	4536	3435
569	4541	3425
570	4544	3414
571	4569	3419
572	4576	3410
573	4586	3404
574	4590	3392
575	4593	3381
576	4598	3371
577	4667	3407
578	4672	3397
579	4674	3385
580	4679	3375
581	4684	3364
582	4688	3353
583	4695	3344
584	4700	3334
585	4786	3381
586	4789	3370
587	4804	3366
588	4814	3359
589	4818	3348
590	4820	3336
591	4823	3324
592	4826	3312
593	4829	3300
594	4834	3290
595	4837	3279
596	4841	3268
597	4844	3256
598	4864	3256
599	4867	3244
600	4869	3233
601	4876	3223
602	4879	3212
603	4882	3200
604	4884	3189
605	4928	3204
606	4932	3193
607	4935	3181
608	4987	3201
609	4993	3192
610	4995	3180
611	5000	3169
612	5003	3159
613	5012	3150
614	5017	3141
615	5020	3129
616	5023	3118
617	5026	3106
618	5064	3117
619	5067	3106
620	5071	3094
621	5073	3083
622	5076	3071
623	5082	3062
624	5085	3051
625	5091	3041
626	5096	3032
627	5102	3022
628	5118	3019
629	5121	3007
630	5130	2999
631	5132	2988
632	5137	2978
633	5141	2968
634	5145	2957
635	5148	2946
636	5153	2936
637	5200	2950
638	5206	2941
639	5214	2933
640	5218	2922
641	5226	2914
642	5229	2903
643	5232	2892
644	5237	2882
645	5244	2874
646	5280	2881
647	5301	2880
648	5305	2869
649	5308	2858
650	5312	2848
651	5317	2838
652	5336	2835
653	5339	2824
654	5375	2831
655	5379	2821
656	5386	2812
657	5392	2802
658	5395	2791
659	5397	2780
660	5406	2772
661	5426	2770
662	5434	2762
663	5440	2753
664	5443	2742
665	5451	2733
666	5455	2723
667	5477	2722
668	5485	2713
669	5488	2703
670	5497	2695
671	5500	2684
672	5505	2675
673	5515	2667
674	5519	2657
675	5527	2649
676	5556	2651
677	5567	2644
678	5570	2633
679	5573	2622
680	5577	2612
681	5580	2602
682	5593	2596
683	5596	2585
684	5659	2602
685	5662	2591
686	5673	2584
687	5676	2574
688	5679	2563
689	5697	2559
690	5701	2549
691	5705	2539
692	5709	2529
693	5716	2520
694	5719	2509
695	5721	2499
696	5724	2488
697	5730	2479
698	5732	2468
699	5735	2457
700	5743	2449
701	5749	2440
702	5753	2430
703	5760	2422
704	5763	2411
705	5766	2401
706	5769	2391
707	5773	2381
708	5776	2370
709	5778	2360
710	5786	2352
711	5789	2341
712	5792	2331
713	5795	2321
714	5825	2322
715	5828	2311
716	5834	2302
717	5837	2292
718	5840	2282
719	5859	2278
720	5893	2280
721	5899	2271
722	5904	2262
723	5907	2251
724	5911	2242
725	5915	2232
726	5919	2222
727	5921	2212
728	5926	2202
729	5928	2192
730	5954	2191
731	5958	2181
732	5961	2171
733	5965	2161
734	5980	2156
735	5982	2146
736	5988	2136
737	5991	2126
738	5993	2116
739	5995	2106
740	5999	2096
741	6001	2086
742	6004	2076
743	6006	2066
744	6011	2057
745	6014	2047
746	6016	2037
747	6029	2031
748	6032	2021
749	6035	2011
750	6039	2002
751	6085	2007
752	6089	1997
753	6092	1987
754	6095	1977
755	6098	1968
756	6100	1958
757	6124	1955
758	6127	1945
759	6130	1935
760	6132	1926
761	6177	1929
762	6179	1919
763	6185	1910
764	6190	1901
765	6193	1891
766	6195	1882
767	6201	1873
768	6204	1863
769	6206	1853
770	6209	1844
771	6212	1834
772	6217	1825
773	6220	1816
774	6223	1806
775	6226	1797
776	6232	1788
777	6235	1779
778	6237	1769
779	6240	1760
780	6243	1750
781	6309	1758
782	6314	1750
783	6317	1740
784	6321	1731
785	6324	1721
786	6330	1713
787	6336	1704
788	6346	1697
789	6349	1687
790	6368	1682
791	6374	1674
792	6378	1664
793	6380	1655
794	6383	1646
795	6388	1637
796	6392	1628
797	6424	1626
798	6459	1625
799	6515	1628
800	6525	1621
801	6530	1612
802	6535	1603
803	6538	1594
804	6541	1584
805	6544	1575
806	6546	1565
807	6552	1556
808	6554	1547
809	6571	1541
810	6574	1532
811	6577	1522
812	6582	1514
813	6585	1504
814	6588	1495
815	6594	1486
816	6597	1477
817	6600	1468
818	6603	1459
819	6605	1450
820	6609	1441
821	6612	1431
822	6614	1422
823	6619	1413
824	6623	1404
825	6625	1395
826	6628	1386
827	6635	1378
828	6638	1369
829	6640	1360
830	6666	1355
831	6669	1346
832	6672	1337
833	6674	1328
834	6677	1319
835	6681	1310
836	6683	1301
837	6686	1292
838	6689	1283
839	6692	1274
840	6696	1266
841	6701	1257
842	6703	1248
843	6711	1240
844	6714	1231
845	6717	1222
846	6721	1214
847	6727	1205
848	6730	1197
849	6733	1188
850	6735	1179
851	6747	1172
852	6749	1163
853	6752	1154
854	6776	1149
855	6778	1140
856	6781	1131
857	6794	1124
858	6800	1116
859	6806	1108
860	6820	1101
861	6825	1092
862	6827	1083
863	6831	1075
864	6834	1066
865	6836	1057
866	6839	1049
867	6844	1040
868	6847	1032
869	6849	1023
870	6852	1014
871	6857	1006
872	6860	998
873	6863	989
874	6871	981
875	6876	973
876	6879	964
877	6886	956
878	6889	948
879	6891	939
880	6894	931
881	6899	923
882	6909	915
883	6916	907
884	6924	899
885	6926	891
886	6930	882
887	6933	874
888	6936	866
889	6941	857
890	6945	849
891	6947	841
892	6953	833
893	6959	825
894	6961	816
895	6964	808
896	6967	800
897	6974	792
898	6983	784
899	6988	776
900	6990	768
901	6993	759
902	6999	751
903	7002	743
904	7005	735
905	7007	727
906	7015	719
907	7018	711
908	7020	702
909	7022	694
910	7024	686
911	7030	678
912	7033	670
913	7037	662
914	7045	654
915	7048	646
916	7052	638
917	7062	630
918	7064	622
919	7067	614
920	7074	606
921	7077	598
922	7080	590
923	7083	582
924	7090	574
925	7094	566
926	7097	558
927	7116	552
928	7121	544
929	7125	536
930	7129	528
931	7133	520
932	7136	512
933	7139	504
934	7141	496
935	7144	488
936	7156	481
937	7158	473
938	7162	465
939	7165	457
940	7168	449
941	7171	441
942	7174	433
943	7178	425
944	7181	417
945	7184	410
946	7187	402
947	7199	394
948	7202	387
949	7212	379
950	7215	371
951	7219	363
952	7228	356
953	7233	348
954	7240	341
955	7245	333
956	7247	325
957	7250	317
958	7256	310
959	7258	302
960	7261	294
961	7264	286
962	7288	280
963	7290	272
964	7295	264
965	7297	256
966	7302	249
967	7306	241
968	7309	233
969	7314	226
970	7318	218
971	7324	211
972	7327	203
973	7331	195
974	7333	188
975	7349	180
976	7352	173
977	7357	165
978	7360	157
979	7362	150
980	7365	142
981	7367	135
982	7373	127
983	7377	119
984	7380	112
985	7382	104
986	7405	97
987	7408	89
988	7411	82
989	7413	74
990	7417	67
991	7421	59
992	7424	52
993	7426	44
994	7429	37
995	7441	29
996	7443	22
997	7449	14
998	7452	7
999	7454	0
